PortNumber,DeviceType,Shortcut,Description
661,Apple Home IoT,HAP,"HAP protocol (HomeKit Accessory Protocol) s Apple’s proprietary protocol that enables third-party accessories in the home (e.g., lights, thermostats and door locks) and Apple products to communicate with each other"
49,Authentication Server,TACACS,Tacacs protocol (Terminal Access Controller Access-Control System) use to authenticate
1812,Authentication Server,RADIUS,Radius protocol (Remote Authentication Dial In User Service) use for authentication and accounting packets (new-version)
88,Authentication Server,KERBEROS,Kerberos protocol use to authenticate
113,Authentication Server,AUTH,Auth protocol use to authenticate
749,Authentication Server,KERBEROS,Kerberos administration protocol use to administrate kerberos authentication server
750,Authentication Server,KERBEROS,Kerberos version iv protocol to requests
754,Authentication Server,KERBEROS,Kerberos slave propagation
543,Authentication Server,KERBEROS,Kerberos authenticated rlogin
544,Authentication Server,KERBEROS,Kerberos authenticated remote sheůů
2105,Authentication Server,KERBEROS,Kerberos authentification 7 encrypted rlogin
4444,Authentication Server,KERBEROS,Kerberos 5 to 4 ticket translator
910,Authentication Server,KERBEROS,Kink protocol (Kerberized Internet Negotiation of Keys) used for  Kerberos protocol to allow trusted third parties to handle authentication of peers and management of security policies in a centralized fashion
1645,Authentication Server,RADIUS,Radius protocol (Remote Authentication Dial In User Service) use for authentication and accounting packets
1646,Authentication Server,RADIUS,Radius protocol (Remote Authentication Dial In User Service) use for authentication and accounting packets
7082,Authentication Server,RADIUS,Radius protocol (Remote Authentication Dial In User Service) use to authenticate
1813,Authentication Server,RADIUS,Radius protocol (Remote Authentication Dial In User Service) use for authentication and accounting packets (new-version)
464,Authentication Server,KERBEROS,Kerberos protocol use to change password
6881,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6882,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6883,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6884,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6885,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6886,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6887,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6888,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
6889,BitTorrent Peer,BitTorrent,"BitTorrent use P2P communication to exchange files, ports 6881-6889"
164,CMIP Agent,CMIP,CMIP Manager (Common Management Information Protocol) asking CMIP Agent (smip-agent protocol - 164)
163,CMIP Manager,CMIP,CMIP agent (Common Management Information Protocol) asking CMIP Manager (smip-man protocol - 163)
706,Conference Server,SILC,SILC protocol (Secure Internet Live Conferencing) provides secure synchronous conferencing services (very much like IRC) over the Internet
630,Database Server,RDA,RDA protocol (Remote Database Access) use for access to remote database server
67,DHCP Server,DHCP,DHCP protocol (Dynamic Host Configuration Protocol-67) using DHCP server for communication with client (END DEVICE)
547,DHCP Server,DHCPv6-server,DHCPv6-server protocol using DHCP server for communication with client (END DEVICE)
647,DHCP Server,DHCP-FAILOVER,"DHCP-FAILOVER protocol is a new feature that enables two Microsoft DHCP servers to share service availability information with each other, providing DHCP high availability. DHCP failover works by replicating IP address leases and settings in one or more DHCP scopes from a primary DHCP server to a failover partner server"
847,DHCP Server,DHCP-FAILOVER,"DHCP-FAILOVER protocol is a new feature that enables two Microsoft DHCP servers to share service availability information with each other, providing DHCP high availability. DHCP failover works by replicating IP address leases and settings in one or more DHCP scopes from a primary DHCP server to a failover partner server"
389,Dictionary Server,LDAP,LDAP protocol (Lightweight Directory Access Protocol) is use to access Dictionary Server (servers for long time safe data)
636,Dictionary Server,LDAPS,LDAPS protocol (LDAP over TLS/SSL) use to secure access dictionary server
674,Dictionary Server,ACAP,"ACAP protocol (Application Configuration Access Protocol) use for synchronization general configuration and preference data, similar to LDAP but not popular"
53,DNS Server,DNS,DNS protocol (Domain Name System) used to translate IP address to domain name (main function)
68,DHCP Client,DHCP,DHCP protocol (Dynamic Host Configuration Protocol-68) using DHCP client (END DEVICE) for requset IP address from DHCP Server
546,DHCP Client,DHCPv6-client,DHCPv6-client protocol using DHCP client (END DEVICE) for requset IPv6 address from DHCP Server
666,End Device,DOOM,Port 666 is using for multiplayer DOOM games
20,File Server,FTP,FTP protocol (File Transfer Protocol) use for file transfer (data)
